,Value,Value,Value
,mean,max,min
DateTime,,,
2023-05-31,24.973656480505795,25.0,15.0
2023-06-30,24.99274047186933,25.0,15.0
2023-07-31,25.270442477876106,30.0,15.0
2023-08-31,24.631021409455844,28.25,15.0
2023-09-30,24.921403639990025,26.5,15.0
2023-10-31,25.102118413905487,26.0,15.0
2023-11-30,24.973995718423375,26.5,15.0
2023-12-31,25.065042075736326,26.0,15.0
2024-01-31,24.954782608695652,26.0,15.0
2024-02-29,25.32806656694091,28.5,15.0
2024-03-31,25.43721340388007,26.0,15.0
2024-04-30,25.39978252990214,26.0,15.0
2024-05-31,25.37866817155756,26.0,24.5
